ESCUELA,ALUMNO,SEXO,PROMOCION_INGRESO,MODALIDAD,COLEGIO_PROCEDENCIA
ADMINISTRACIÓN,d6571b2dbef6733eba27a413a40823f1e07eee70e2ca29a39df538e5f5456b70,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,44431c1dbf1b9732b2c417e6594d8c9066cc828a530645b9fa96a991f4b11e93,Masculino,2023B,Deportistas Calificados,Colegio Particular
ADMINISTRACIÓN,3c702f8253957c4529c2ff76f61d97a0ae7ab23ea26f35caaffaf6bd5df92df9,Masculino,2023B,Primer/Segundo Puesto,Colegio Nacional
ADMINISTRACIÓN,0f3f4c4b4dedea5400d17ab307c7d194f750559ed9d96e48fa53860e30d8b3cf,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
ADMINISTRACIÓN,705823c02bcdb8568bc19806538ad75bdb5d0253e2e15c2a6af5c5c7c2e2d4f2,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,8a2ba11ca350f6fc6b29269e82203c395b5bf55ef867c9a52cbc406a62be39eb,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,3305086b6b3cba1adbc70824b6b76dcfaf26dd2b25ef98af32fcfd0afb93c459,Femenino,2023B,Primer/Segundo Puesto,Colegio Nacional
ADMINISTRACIÓN,00b7b6e1fbe6a0c628d8c5fb011bf96d5434d7bf7ad3d9f6c545a3283a2a459c,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,13116ae337f9b7dd4ea56f65cb06299ae1dbd6b9ff7c3deeb262e82c1c951282,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACIÓN,420dd91da0469c5096f15c63c4fb21e67dacfbbdecfa1cb84c83e28b19d27fd0,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,0a80b3069df3b419d9221a2379726e3a299d1cb2e330edbe56415fc0ef12f6ce,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,674f36c84bfc61349576a6fa99b9cc2183ce4f32d1ec2b2764a3701b68bf31e7,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,6d3a55a578274b390bdc107d7538ce9f76d5892902a2b62beeba783ae949c3ab,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,e91ffe19d15a72f3baee9fe5423f7b6567f8394b0fcadace6f62b6b246d188d5,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACIÓN,38e234155865736a48704041776a6f37ac5ec4f38ed2b44cff34df11fac91cd9,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACIÓN,fe74c9a97d4463410334da48cd7e612b68b9c60ac1515b4a5c89fc0b1fa9eb62,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,1e37b6749c877f45fca2e7ac449498bd59fc06727692500852d8771644545052,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,d475348e26f803a4b644a5a2808b79c83ac9828b45634135acd64fcb44c470ab,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,4be748997b1362b408dee80ac49301f7a5d5b8ee74826afd8205ff0c905c67df,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,e3cc3dd331bb29d29dd1cbbac54b5188f300a8f0c6147fed93cd63bc12693626,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,e5648c19faeed2d38a0adf0c440fa5cda7d09b49e6ff7da52eaab498d5907d6c,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACIÓN,ba39add65cd7c10721023aacf379088ebea8406e7eae48c4a221b3919c71ac76,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACIÓN,66e7cc7f76e000d2267a3c0ad12599d4c45611b4128e221902316d3e27c7ca15,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,ca905e0466fc30c25eccb0e19148c2585bb65967f5bd021b205ee4f972a14982,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,1aeccf70216239fa41e34514f864b58e2dbd89b29e830ed4619d09601e33fe63,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,c5440edc09dcbd21a1ed5cd5374b50d94236b59ed08150c6dc80d1f5bb311550,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACIÓN,5137e65c73ded0c022b4856b00429c8b7fa91abfb1bd557be2e352cb54aeeb5b,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACIÓN,4e0ded8ecaef1684901d6e2614839efaf17b5bcc22f56cd651372e9cf15621d3,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
