ESCUELA,SEXO,PROMOCION_INGRESO,MODALIDAD,COLEGIO_PROCEDENCIA
ADMINISTRACION,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACION,Masculino,2023B,Deportistas Calificados,Colegio Particular
ADMINISTRACION,Masculino,2023B,Primer/Segundo Puesto,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Centro Pre de UNAC
ADMINISTRACION,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Primer/Segundo Puesto,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACION,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACION,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACION,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACION,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACION,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACION,Masculino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACION,Femenino,2023B,Centro Pre-Universitario,Colegio Particular
ADMINISTRACION,Masculino,2023B,Centro Pre-Universitario,Colegio Nacional
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Nacional
ADMINISTRACION,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACION,Masculino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Parroquial
ADMINISTRACION,Femenino,2023B,Examen General de Admision,Colegio Particular
ADMINISTRACION,Masculino,2023B,Examen General de Admision,Colegio Nacional
